User_ID,Name,Email,Signup_Date,Last_Login,Country,Age,Subscription_Type,Total_Purchases,Lifetime_Value
c1e532e9-9f9e-49de-8083-caf7b5c01e85,Matthew Nicholson,amandalee@turner.net,2023-06-03,2024-11-02,Nepal,22,Free,32,8918.01
e9aa0805-0556-48c7-8d84-1b12872a3020,Lindsey Smith,rasmussenoscar@doyle.com,2022-05-15,2023-06-06,Guadeloupe,63,Premium,24,10088.0
33f72668-a58b-4840-bbd6-df585d7a0c85,William Young,jeremybaker@perry-morris.com,2022-01-24,2023-03-13,Saint Barthelemy,24,Free,25,8453.01
2fb6935a-54a5-45c4-8bbd-cbdfb88c2046,Joseph Brown,qrichards@smith.com,2022-10-05,2024-04-11,United States of America,46,Basic,29,11560.6
1a4c5fc5-0889-4a4c-9807-a91337b5d822,Amber Anderson,christopherchung@hotmail.com,2022-12-14,2024-05-07,Saudi Arabia,42,Basic,39,3878.02
bf0259ac-3c2a-4755-89c3-918e0f89c38a,Sean Herrera,daisy67@miller-stevens.info,2022-06-10,2023-08-04,Costa Rica,35,Premium,31,11973.13
cf4e796d-7f6b-4db1-8bdc-568d52de24ff,Katherine Rodriguez,andrewschristopher@gmail.com,2023-11-26,2024-03-15,Australia,68,Basic,21,6464.27
4ea49dca-94e1-407f-8de1-8e1a1d46ba4f,Sydney Charles,jennifermyers@hotmail.com,2022-02-12,2022-07-31,Poland,58,Premium,4,1924.77
3cb88426-3c91-4956-90dd-759a4ed33cab,Evan Sims,brandon93@mccormick-hernandez.info,2022-04-16,2024-11-25,Brazil,20,Basic,7,70.61
29cd6c39-65f2-40d1-a0c2-03de024c5537,Elizabeth Gonzalez,garciamichael@yahoo.com,2022-05-21,2022-07-08,South Africa,27,Basic,12,3157.25
822af3ac-b865-46ac-8998-c1a47764a216,Sharon Jimenez,garciapatrick@yahoo.com,2023-09-29,2024-10-20,Mongolia,26,Free,8,1401.47
209b0280-8cf0-4142-b3b6-f1445548d617,Robert Owen,samanthawoods@olson.biz,2023-05-08,2023-08-12,Martinique,22,Basic,28,8116.58
f20285a7-014a-4e93-8b39-5f49a17edde7,Ann Reed,gina42@cannon-mitchell.com,2023-08-08,2023-11-09,Belarus,20,Basic,40,19444.82
486a330e-4deb-4405-9411-87ab6a2be09f,Gary Murphy,annetterobertson@yahoo.com,2022-10-16,2023-09-03,India,66,Free,16,5074.21
aa520b02-2994-4622-a892-54e9017f75a5,Kristin Green,hphelps@hudson.com,2023-05-29,2024-01-29,Congo,30,Premium,4,666.28
63c517ea-4fac-40f5-aabc-4c37251534a1,Benjamin Perkins,johnny20@yahoo.com,2022-02-05,2024-04-24,Somalia,50,Premium,10,952.04
3dd4feef-cd46-436d-b257-831cabb3313c,Kimberly Campbell,andrewssamantha@johnson-parker.info,2022-09-11,2024-01-03,France,29,Premium,17,3048.32
6c94eefc-170a-4b6a-9fc4-19095ad8293c,Savannah Schroeder,perezcourtney@pierce.com,2023-10-14,2024-06-29,Guernsey,59,Premium,20,3577.83
c974b119-a6fa-4fa8-94b3-9d44ea8e04a8,Eric Sloan,joneschristopher@dickerson.com,2022-10-23,2023-07-20,United Kingdom,30,Free,24,1842.29
450815e0-b45b-43e7-9640-e99ff7cc8b1c,Bryan Allen,greenmelissa@hernandez.com,2022-05-06,2024-01-07,Benin,68,Free,20,8322.73
0345120f-5cf4-4b57-b356-c741e2a8d4b0,Anthony Garrett,fnash@yahoo.com,2023-07-29,2024-03-31,Singapore,57,Free,35,8962.17
feb6664c-859b-4ce0-a780-9d8f3e1130b1,Alyssa Meza,michele09@perkins.com,2022-09-03,2023-05-30,Egypt,58,Free,48,4211.8
1403c9b7-a590-4f57-834f-6788102dd519,Levi Martin,balldavid@yahoo.com,2023-08-16,2024-07-08,Egypt,53,Free,17,2755.85
bbbde5e7-1a40-4074-b214-3f9a45aab3f7,Brandi Mills,xosborne@stewart.org,2022-10-24,2023-05-22,Slovenia,20,Premium,37,10402.4
ae915b77-572c-4719-ad82-71e1b3172e67,Jennifer Grant,hutchinsonheidi@hotmail.com,2023-05-17,2024-12-13,Dominican Republic,35,Premium,48,11952.96
3dbaaada-6bab-44c7-ae83-de886d02fb3e,Ashley Thomas,brooke20@gmail.com,2023-09-26,2024-01-14,Denmark,43,Premium,31,12182.81
672bc374-a7c0-480d-b180-dee0bae9fb48,David Ballard,gregorykatie@davies.org,2022-02-02,2022-08-21,Greece,57,Basic,22,1062.52
a90e3200-1b51-4120-b42c-749ac0e623cf,Matthew Ware,robertblack@harper.com,2023-07-20,2024-08-24,Tajikistan,28,Basic,30,3211.48
46d9758d-a691-4b00-baaa-9722574c3d0c,Mr. Roger Warren,nhampton@gmail.com,2022-09-09,2024-03-02,Mozambique,37,Basic,26,683.53
44631f8a-68da-4423-aa27-be412677e0a0,Natalie Fernandez,dleach@hotmail.com,2022-06-20,2023-11-14,Philippines,39,Free,8,1400.59
5582051e-3fc9-4c5d-b217-edf2dec92b3e,Michael Stewart,josepholson@whitehead-meyers.org,2022-10-05,2023-05-13,Aruba,55,Basic,43,4764.65
cd6cb5fd-3bef-4492-8b04-c94df3bde3eb,Michael Curry,wurichard@hall.com,2022-05-15,2022-12-02,Mexico,39,Free,42,3224.58
