Transaction ID,Customer Name,Product Name,Category,Price,Quantity,Total Amount,Discount,Purchase Date,Customer Location,Payment Method
a1f7d58b-c9e9-4c71-a5f7-e9d9b3d5c126,Cathy Wiggins,Microwave,Home,426.62,3,1279.86,25.14,2024-05-10,"Silvaborough, Louisiana",Credit Card
767e86ec-b38d-44c6-a103-b93f92682191,Nancy Colon,Jeans,Clothing,474.22,3,1422.66,25.14,2020-10-06,"East Micheleburgh, Alabama",Credit Card
82f3bf05-ad68-4df0-bf16-2ef93a5fb02b,Seth Ford,Blender,Home,586.84,3,1760.52,31.01,2024-05-10,"East Susan, Hawaii",Cash
21678f43-9401-4a47-bf66-b47c1a03abf4,Jessica David,Comics,Books,587.11,3,1761.33,33.22,2021-05-26,"Howellside, New Hampshire",PayPal
1254d1bd-231f-42af-8ca8-cf7a89e6f5bf,Henry Ellis,Biography,Books,400.17,2,800.34,27.23,2024-05-10,"Christopherberg, New Hampshire",Cash
a7600343-c56a-4945-a33d-188836abf792,Michelle Andrade,Laptop,Electronics,735.2,3,2205.6,13.15,2020-01-04,"Grossview, Idaho",Credit Card
e1265a30-cb45-4775-a256-fdb96dda7b9d,Bradley Simpson,Perfume,Beauty,331.1,2,662.2,48.49,2024-05-09,"Chaseberg, Georgia",Credit Card
f8a532a1-f9cf-4ca0-b01a-183dcff88fe7,Kristie Nicholson,Perfume,Beauty,393.1,3,1179.3,33.44,2024-05-10,"West Ryanshire, Arkansas",Credit Card
b9914d48-1f3f-41fd-9bf4-44adadbb3fb2,Michelle Martinez,Biography,Books,123.7,2,123.7,25.14,2024-10-20,"South Jameschester, Alabama",Cash
cc4f3342-8b73-4809-a8e9-4fbd395edb33,Thomas Boyd,Blender,Home,877.43,2,1754.86,25.14,2024-10-21,"North Jeremy, Montana",Credit Card
0aa163e9-7f82-4449-9f83-b9934cded64d,Mason Jones,Shirt,Clothing,503.87,3,1511.61,25.14,2024-02-23,"Randallfurt, Virginia",Credit Card
9c477694-f002-4e91-baa6-023a74e695b4,Donald Farmer,Shirt,Clothing,271.04,2,271.04,45.48,2024-03-15,"Lewischester, Washington",PayPal
ab33fe37-f99c-416a-8453-dd94e82ac0ae,John Phillips,Makeup Kit,Beauty,352.42,2,704.84,25.14,2024-05-10,"Davidport, New York",PayPal
6fe30f86-b210-4981-a171-71b6acbbbd30,Nathan Zimmerman,Sweater,Clothing,626.51,2,626.51,0.33,2023-03-01,"Lewismouth, Illinois",Cash
bc6deaf3-d87c-4142-a4a4-6d0a743f8e0a,David Long,Blender,Home,216.53,2,433.06,36.1,2023-07-18,"New David, Georgia",PayPal
d6bb5034-1978-49ac-a1ec-b18f6f992b54,Joshua Castillo,Headphones,Electronics,920.05,2,920.05,25.14,2024-06-20,"South Melissa, Michigan",Cash
158f47f2-3d37-4e06-a64f-3ded1fb8df63,Leah Potter,Biography,Books,587.7,3,1763.1,46.59,2024-11-06,"Abigailmouth, Virginia",Credit Card
e9983354-2cce-4483-bc18-0842aaac6a7b,Mikayla Lewis,Vacuum Cleaner,Home,26.96,2,53.92,43.19,2020-08-26,"Mcgeeton, North Dakota",Cash
43934dca-b413-4143-af26-0f7d8d411d2d,John Smith,Microwave,Home,299.62,2,599.24,25.14,2024-07-21,"Brownville, South Dakota",Cash
